match_id,date,venue,batting_team,bowling_team,innings,over,striker,non_striker,bowler,Runs_scored,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,22-Mar-24,Chennai,CSK,RCB,2,6.2,Rahane,Ravindra,Karn Sharma,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,6.3,Rahane,Ravindra,Karn Sharma,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,6.4,Rahane,Ravindra,Karn Sharma,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,6.5,Ravindra,Rahane,Karn Sharma,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,6.6,Ravindra,Rahane,Karn Sharma,0,0,0,0,0,0,0,caught,Ravindra,Rajat Patidar
1,22-Mar-24,Chennai,CSK,RCB,2,7.1,Rahane,Mitchell,Mayank Dagar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,7.2,Mitchell,Rahane,Mayank Dagar,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,7.3,Mitchell,Rahane,Mayank Dagar,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,7.4,Mitchell,Rahane,Mayank Dagar,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,7.5,Mitchell,Rahane,Mayank Dagar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,7.6,Rahane,Mitchell,Mayank Dagar,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,8.1,Mitchell,Rahane,Karn Sharma,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,8.2,Mitchell,Rahane,Karn Sharma,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,8.3,Mitchell,Rahane,Karn Sharma,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,8.4,Mitchell,Rahane,Karn Sharma,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,8.5,Rahane,Mitchell,Karn Sharma,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,8.6,Mitchell,Rahane,Karn Sharma,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,9.1,Mitchell,Rahane,Mayank Dagar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,9.2,Rahane,Mitchell,Mayank Dagar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,9.3,Mitchell,Rahane,Mayank Dagar,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,9.4,Mitchell,Rahane,Mayank Dagar,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,9.5,Mitchell,Rahane,Mayank Dagar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,9.6,Rahane,Mitchell,Mayank Dagar,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,10.1,Rahane,Mitchell,Green,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,10.1,Rahane,Mitchell,Green,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,10.2,Rahane,Mitchell,Green,0,0,0,0,0,0,0,caught,Rahane,Maxwell
1,22-Mar-24,Chennai,CSK,RCB,2,10.3,Shivam Dube,Mitchell,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,10.4,Mitchell,Shivam Dube,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,10.5,Shivam Dube,Mitchell,Green,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,10.6,Shivam Dube,Mitchell,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,11.1,Shivam Dube,Mitchell,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,11.2,Mitchell,Shivam Dube,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,11.3,Shivam Dube,Mitchell,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,11.4,Mitchell,Shivam Dube,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,11.5,Shivam Dube,Mitchell,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,11.6,Mitchell,Shivam Dube,Alzarri Joseph,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,12.1,Shivam Dube,Mitchell,Green,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,12.2,Shivam Dube,Mitchell,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,12.3,Mitchell,Shivam Dube,Green,0,0,0,0,0,0,0,caught,Mitchell,Rajat Patidar
1,22-Mar-24,Chennai,CSK,RCB,2,12.4,Jadeja,Shivam Dube,Green,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,12.5,Jadeja,Shivam Dube,Green,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,12.5,Jadeja,Shivam Dube,Green,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,12.6,Jadeja,Shivam Dube,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,13.1,Jadeja,Shivam Dube,Maxwell,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,13.2,Jadeja,Shivam Dube,Maxwell,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,13.3,Jadeja,Shivam Dube,Maxwell,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,13.4,Shivam Dube,Jadeja,Maxwell,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,13.5,Shivam Dube,Jadeja,Maxwell,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,13.6,Shivam Dube,Jadeja,Maxwell,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,14.1,Jadeja,Shivam Dube,Siraj,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,14.2,Jadeja,Shivam Dube,Siraj,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,14.3,Jadeja,Shivam Dube,Siraj,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,14.4,Shivam Dube,Jadeja,Siraj,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,14.5,Jadeja,Shivam Dube,Siraj,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,14.6,Shivam Dube,Jadeja,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,15.1,Jadeja,Shivam Dube,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,15.2,Shivam Dube,Jadeja,Green,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,15.3,Shivam Dube,Jadeja,Green,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,15.3,Shivam Dube,Jadeja,Green,3,3,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,15.4,Jadeja,Shivam Dube,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,15.5,Shivam Dube,Jadeja,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,15.6,Jadeja,Shivam Dube,Green,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.1,Jadeja,Shivam Dube,Alzarri Joseph,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.2,Jadeja,Shivam Dube,Alzarri Joseph,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.3,Jadeja,Shivam Dube,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.4,Shivam Dube,Jadeja,Alzarri Joseph,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.4,Shivam Dube,Jadeja,Alzarri Joseph,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.5,Shivam Dube,Jadeja,Alzarri Joseph,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.5,Shivam Dube,Jadeja,Alzarri Joseph,4,0,4,0,0,1,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,16.6,Shivam Dube,Jadeja,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,17.1,Shivam Dube,Jadeja,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,17.2,Shivam Dube,Jadeja,Siraj,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,17.3,Shivam Dube,Jadeja,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,17.4,Shivam Dube,Jadeja,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,17.5,Shivam Dube,Jadeja,Siraj,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,17.6,Shivam Dube,Jadeja,Siraj,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,18.1,Jadeja,Shivam Dube,Alzarri Joseph,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,18.2,Shivam Dube,Jadeja,Alzarri Joseph,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,18.2,Shivam Dube,Jadeja,Alzarri Joseph,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,18.3,Shivam Dube,Jadeja,Alzarri Joseph,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,CSK,RCB,2,18.4,Shivam Dube,Jadeja,Alzarri Joseph,4,0,4,0,1,0,0,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
